S.,Aff. No.,Name of,Organization & address,Contact person/,Email Id/ Website,Project Details,,,,
,,Kannur – 670102,,,"Centre, Yoga Centre,",,,,,
,,,,,Bal Sanskar Kendra,,,,,
113,847,"Seva Bharathi Mathrumandiram,",V Hari Kumar –,rao.narayana753@gmail.com,,,,,,
,,"Nilamel, Neyyattinkara, Dist","09744846375, ",,Daily Annadhanam for,,,,,
,,Thiruvananthapuram – 695121,(O) 09656284600,,poor patients in govt,,,,,
,,,,,"hospital, Blood",,,,,
,,,,,,117,,,,
,,,,,"donation camp, ",,,,,
,,,,,Financial assistance,,,,,
,,,,,for poor students,&,,,,
,,,,,patients,,,,,
114,849,"Jana Seva Samithi Kannur, ",C.P.Ramachandran-,cpramachandran1@gmail.com,,,,,,
,,"Rashtra Mandir, Talap, ","09447169123, ",,,,,,,
,,Dist Kannur – 670001,"(O) 04972769365,",,"1 CBSE School, ",,,,,
,,,9447169123,,"1 Stateboard school,",,,,,
,,,,,"Computer Class, ",,,,,
,,,,,Yoga Class,,,,,
115,850,"Venmani Hindu Service Society,",P.Rajamurali,prajamurali@gmail.com,,,,,,
,,"P.O.Kampatti, Thalapuzha, ",(O) 09544945958,,,,,,,
,,Wayanad – 670644,,,"CBSC School,",,,,,
,,,,,"Auditorium for general,",,,,,
,,,,,"Hostel for boys & girls, ",,,,,
,,,,,Computer centre,,,,,
116,851,"Sewa Bharathi, Ottapalam,",Sreedharan -,sevabharatiotp@gmail.com,,,,,,
,,"Sangh Nikethan, Chembaipuri,",9895046839,,,,,,,
,,"Ottapalam, ",,,"Balagokulam, Medical",,,,,
,,Dist Palakkad-679101,,,"camp, Financial",,,,,
,,,,,support for poor,,,,,
,,,,,people,towards,,,,
,,,,,sanitation speciality,,,,,
117,852,"Deena Daya Seva Trust, ",P.G.Haridas-,deenadaya@gmail.com,◆,,,,,
,,Adv K.G. Sukumaran Memorial,"09447421547, ",FCRA,Empowerment of,,,,,
,,"Building, ",(O) 04862 - 220102,,"women, Balasadanam,",,,,,
,,"Temple Road, Near Civil Station,",,,"family counselling,",,,,,
,,Thodupuzha - 685608,,,"medical camps, ",,,,,
,,,,,"education, Health,",,,,,
,,,,,"ambulance, Home for",,,,,
,,,,,destitute & old aged,,,,,
118,859,"Sri Agasthiya Seva Samithi,",R. Reji - 09645386151,kstes.tvm@gmail.com,,,,,,
,,"Kollode P.O., Kattakada, Dist",,,"Balasadanam (7 boys),",,,,,
,,Thiruvananthapuram - 695571,,,Balsanskar Kendra,,,,,
,,,,,,118,,,,
119,874,C.G.M. English Medium Higher,,T.V. Velayudhan –,,cgmvidyalaya@gmail.com,,,,
,,"Secondary School, ",,"0466 -2212384, ",,,"Higher Sec. School,",,,
,,"Ongallur, Pattambi, ",,(O) 0466 – 2212384,,,Computer,"Centre,",,
,,Dist Palakkad - 679313,,,,,"Sanskrit Class,",,,
,,,,,,,"Balagokulam, Yoga class ",,,
120,882,Thathwamasi,Charitable,T.R. Sukumaran –,,"thathwamasycharity@gmail.com,",,,,
,,"Society, ",,"09388888180, ",,"sukumarthoppil@gmail.com, ",Financial help for poor,,,
,,"VII/66G,",Near Sree Dharma,(O),"0484 – 2585698,",www.thathwamasycharity.org,"children education,",,,
,,"Sasta Temple, Broadway,",,9388888180,,,cleaniness,for,nearby,
,,"Perumbavoor, ",,,,,"Forest, Environmental",,,
,,Dist,Ernakulam - 683542,,,,awareness,,,
,,Konkan,,,,,,,,
1,6,"Nana Palkar Smruti Samithi, ",,Kiran Karalkar –,,"nanapalkar15@gmail.com,",,,,
,,"Rugna Sewa Sadan, ",,"09322508117, ",,www.npss.org,,,,
,,"158, Rugna Sewa Sadan Marg, ",,"(O) 022 - 24186724,",,FCRA,Rugna Seva Sadan,,,
,,"Dr. Ambedkar Road, ",,"24164890, 24102167 ",,,Dialysis centre,,,
,,,,,,,Pathology Lab,,,
,,"Parel, Mumbai – 400012 ",,,,,,,,
,,,,,,,Lithotripsy centre,,,
,,,,,,,Medical Aid,,,
,,,,,,,T.B. Treatment,,,
,,,,,,,Dispensary,,,
,,,,,,,Ambulance Service,,,
2,13,Paryawaran Dakshta,,Prof. Vidyadhar,,envirovigil2003@gmail.com,,,,
,,"Manch,Thane ",,Walawalkar -,,, ◆,,,
,,"Gala No 15, Dadoji Konddev",,"9869006321, ",,,Paryavaran School,,,
,,"Stadium, Khartan Road, ",,"(O) 020 – 25332731,",,,,,,
,,Thane (W) – 400601,,25411633,,,,,,
3,14,"Pragati Pratishthan, Navpada ",,Sunanda,,"pragati.pratishthan@rediffmail.com, ",  ,,,
,,"Jeevanchaya , Ram Maruti Road,",,V.Patwardhan -,,"sunandapatwardhan@gmail.com,",Residential school for,,,
,,"Navpada, ",,"9423027931, ",,www.pragatipratishthan.org,special (deaf & dumb),,,
,,Thane – 400602,,(O) 02520 - 222454,,,children,,,
4,16,"Satkarma Shradashraya,",,Manoj Manohar,,"sushrut7@gmail.com, ",,,,
,,,,,,,,,,
,,,,,,,119,,,
,,Dombivali,,Paranjpe -,"mbapet54@gmail.com, ","Goshala, Mauli",,,,
,,"Bhagirathi, Plot No. 72, Gandhi",,"09819282247, ",www.satkarmablogspot.com,students hostel at,,,,
,,"Nagar, Manpada Road,",,"(O) 0251-2448531,",,Panvel,,,,
,,"Dombivali (East): 421204, Dist.",,2448539,,,,,,
,,Thane,,,,,,,,
5,17,"Rashtriya Seva Samithi Trust, ",,Sriram Pandurang,"pypatwardhan@yahoo.co.in,",,,,,
,,"2843, Madhav Bhawan, ",,"Raikar – 9890544284, ","sadhananp@gmail.com,",,,,,
,,"Veer Savarkar Marg, ",,"(O) 9860879486, ",saigajanan@gmail.com,"Goshala 20, ",,,,
,," Zad Gaon, ",,02352-226924,,Adarsh Vastigrah –,,,,
,,,,,,"Boys, ",,,,
,,RATNAGIRI - 415612,,,,,,,,
,,,,,,Bandopant Vastigrah –,,,,
,,,,,,Girls,,,,
6,18,Dr Babasaheb Lele Smarak,,Dr.Subash Madhukar,docadwait1@gmail.com,,,,,
,,"Samithi Sawantwadi, ",,Dighe – 09860719209,,,,,,
,,Dr.Hedgewar Smrithi Seva,,,,Food processing &,,,,
,,"Prakalp,","MANGAON, ",,,cashew processing,,,,
,,,,,,"training, Tembye",,,,
,,"TQ Kudaal., ",,,,,,,,
,,,,,,Swami Vidhyarthi,,,,
,,Dist Sindhdurg : 416519,,,,,,,,
,,,,,,Vastigrah,,,,
7,19,"Keshav Seva Sadhna,",,Laxman V Behare –,"nanabehare@gmail.com,",,,,,
,,"Durganagar, Bori ",,"09422443165, ","ravindramodak@yahoo.com,",,,,,
,,"Om, Durga Nagar Bori, ",,(O) 0832 – 2333150,http://kssgoa.org,"3 Hostels, 2 School for",,,,
,,"Ponda, Goa - 403401 ",,,,special,,,,
,,,,,,"children,20Gram",,,,
,,,,,,"Arogya Rakshak,",,,,
,,,,,,"1 Ambulance,",,,,
,,,,,,2 Equipment centre,,,,
,,,,,,for patients,,,,
8,227,"Madhav Sewa Foundation, ",,Aditya Rathi –,"madhavsevafou@gmail.com,",,,,,
,,"A – 103, Aster Tower, General A,",,"09324918173, ","pratibhacreations2010@gmail.com,",,,,,
,,"K.Vaidya Marg, Malad East,",,(O),022 – 28491539,www.madhavsewa.org,No detail,,,
,,Mumbai - 400097,,,,,,,,
9,272,"Seva Sahayog Foundation, ",,Kishore Moghe -,"mumbai@sevasahayog.com, ",,,,,
,,"Ist Floor, Pitrchhaya, ",,"9833994754, ",www.sevasahayog.org,◆,,,,
,,,,,,No detail,,,,
,,,,,,120,,,,
,,"S.H. Paralker Marg, ",,,(O) 022 – 24446094,,,,,
,,"Shivaji Park, Dadar (W), ",,,,,,,,
,,Mumbai - 400028,,,,,,,,
10,273,"Samatol Foundation, ",,,Ranganath D Alhat-,"foundationsamatol@gmail.com,",,,,
,,"(i) Gala No.50, Dadaji Kondadev",,,"9892961124, ","foundationsamatol@yahoo.com,",,,,
,,"Stadium, ",,,"9323503571, ",http://samatol.in,No detail,,,
,,Thane West – 400002,,,(O) 022 – 24374316,,,,,
,,(O) 022 - 25454838,,,,,,,,
,,"(ii) 1/4, Ahmmad Umar Bulding,",,,,,,,,
,,"Dr. D’Silva Marg, ",,,,,,,,
,,"Above Hotel Darbar, ",,,,,,,,
,,"Dadar (W), Mumbai: 400028 ",,,,,,,,
11,278,"Arvind Samruti, ",,,Vishnu Savara –,arvindsmurti@gmail.com,,,,
,,"Vill. & PO. Dadade, ",,,"9422077293, ",,,,,
,,"TQ Vikramgarh, ",,,(O),02526 – 271415,"Tribal development, 3",,,
,,Dist: Thane – 401605,,,,"schools, Ashram in",,,,
,,,,,,Tribal,areas,,,
12,290,Rambhau Mhalgi Prabodhini,,,Ravindra Sathe –,"samparka@rmponweb.org, ",,,,
,,"Keshav Srushti, Essel World",,,"022- 24127373, ",www.rmponweb.org,,,,
,,"Road, Uttan, Bhayender(W), Dist",,,"(O) 022-24136966,",Training Centre for,,,,
,,Thane – 401106,,,24127373,NGOs,,,,
13,307,Ahilya,Mahila,"Mandal, ",Ashwini Gadge –,"ahilyamahilamandal.pen@gmail.com,",,,,
,,"Ziral Aali, Near Ganpati Temple,",,,"09881716280, ",www.ahilyamandal.org,,,,
,,"Pen – 402107, ",,,(O),"02143 – 256718,","Vriddhashram, Indira",,,
,,Dist – Raigarh,,,252665,"Sanskrit Pathashala,",,,,
,,,,,,Anandi Vasati Gruha,,,,
,,,,,,for girls,,,,
,,,,,,"SHG,","Blood bank, ",,,
,,,,,,Path lab,,,,
14,312,"Jal Vardhini Prathishthan, ",,,Ulhas Paranjpe-,"jalvardhini@gmail.com,",,,,
,,"1, Jankiniwas, Gokhle Marg",,,"9820788061, ",www.jalvardhini.org,◆,,,
,,"(North), Dadar, ",,,(O) 022 – 25637011,No detail,,,,
,,(West ) Mumbai - 400028,,,,,,,,
,,,,,,121,,,,
15,327,Dr. Hedgewar Jana – Jagriti,,Anil D. Patkar -,-,,,,,
,,"Pratishtan,",Khardi,"9730836726, ",,,,,,
,,"At & Post –Khardi, ",,(O),9960048566,No detail,,,,
,,"Taq, Shahapur, ",,,,,,,,
,,Dist Thane – 421304,,,,,,,,
16,349,Capt. Anant Sridhar Oak,,Balkrishna M. Mokal –,"ovsspkarjat@gmail.com, ",,,,,
,,Vanaushadhi Sanshodhan va,,"9221049908, ",balkrishna.mokal@gmail.com,,,,,
,,"Samvardhan Pratishthan, ",,(O),9225281192,"SHG, medical OPD,",,,,
,,"NANGURLE, Tq Karjat, ",,,,"medical camps, kishan",,,,
,,Dist: Raigad – 410201,,,,"vikas mandal, organic",,,,
,,,,,,farming,,,,
17,352,Parivartan Mahila Sanstha,,Jyoti Patkar -,"jyoti_30@yahoo.com,",,,,,
,,"Sudama Smruti, Hanuman",,"9322217024, ",www.parivartanmahila.org,◆,,,,
,,"Nagar, Near Pragati College,",,(O) 0251 – 2883124,,Ekal Mahila,,,,
,,"Snehankit Chowk, Nandivali",,,,"workshops,",,,,
,,"Road, Dombivli (East), ",,,,Balikasadan,for,,,
,,Dist Thane – 421201,,,,Comman,,,,
,,,,,,Vriddhashram for,,,,
,,,,,,"ladies, SHG 525,",,,,
,,,,,,Khelwadi for tribal,,,,
,,,,,,children training for,,,,
,,,,,,jobs (in villages),,,,
,,,,,,under Manrega,,,,
18,355,Amba Gouri Vishwa Seva,,Yeshwant Velankar-,ambagauri@yahoo.co.in,,,,,
,,"Udhyog Trust, ",,"9422054551,",,,,,,
,,"Jamsande, Devgad Tq,",,"9422393710, ",,No detail,,,,
,,Sindhudurg Dist – 416612,,(O) 02364 – 262019,,,,,,
19,367,Bhagirath Gramvikas,,A.V. Bhide –,"bhagirathgram@gmail.com, ",,,,,
,,"Pratishthan, ",,02362 - 236258,www.bhagirathgram.org,◆,,,,
,,"At & Post ZARAP, ",,"09422596500,",,BMD Camp,,,,
,,"TQ Kudal, ",,(O) 02362 – 232295,,,,,,
,,Dist Sindhu Durg – 416520,,,,,,,,
,,Madhya Bharat,,,,,,,,
1,40,"Seva Bharathi, Gwalior ",,Ram Niwas Gupta -,dr.rngupta.maths@gmail.com,,,,,
,,,,,,122,,,,
,,"Rashtrothan Bhawan, ","09893402031, ",,,,,,,
,,Nai Sadak Gwalior – 474009,(O) 0751 – 232707 /,,,Hostel for Vanavasi,,,,
,,,2321467,,,Children,,,,
2,96,"Seva Bharati, Sheopur, ",Kamalsingh Gautam –,,sewabharatisheopur@gmail.com,,,,,
,,"Heavy Machinery Tin Road,","09425196541, ",,,,,,,
,,"Chambal Colony, ",(O),"07530 - 223351,",,School,,,,
,,Sheopur - 476337,223314,,,,,,,
3,97,"Taranekar Smriti Seva Nyas, ",Gupta Suresh –,,arogyadham.gwl@gmail.com,,,,,
,,"Rashtrothan Bhawan, ","09425123138, ",,,"Blood bank, ",,,,
,,Nai Sadak (opp. Madhav College),(O),"0751 – 2431600,",,Pathology Lab,,,,
,,Gwalior – 474001,2627072,,,,,,,
4,141,Bhau Sahab Bhuskute Smriti Lok,Sudhir Lad –,,"anilagrawal_vb@yahoo.in,",,,,,
,,"Nyas, Govindnagar ","9977133243, ",,"vm.viraj2011@gmail.com,",◆ ,,,,
,,"Vill & Post. Paliyapipariya, ","(O) 07576-285450,",,www.bbslgovindnagar.org,"SHG, Bamboo Craft ",,,,
,,"Tq Bankhedi,",285591,,,,,,,
,,Dist: Hoshangabad – 461990,,,,,,,,
5,142,Seva Bharati (Madhya Bharat),Bal Chandra Vishnu,,"swbharti@yahoo.co.in,",   ,,,,
,PPS,"Bhopal, ",Khandekar -,,bhalchandravk@yahoo.com,"1 Vriddhashram, ",,,,
,," “Matrachaya” opp. Maida Mill,","09425649346, ",,,7 Medical vans,,,,
,,"Hoshangabad Marg, Ramathirth","(O) 0755 – 4271483,",,,1 Seva Vidya Mandir,,,,
,,"Nagar, ",4270517,,,Higher Secondary,,,,
,,Bhopal – 462011,,,,"School, Matruchhaya,",,,,
,,,,,,Bal & Balika Sadan,,,,
,,,,,,•,Dabra,,,
,,,,,,•,Gwalior Hostel,,,
,,,,,,•,Shivpuri,,,
,,,,,,•,Guna,,,
,,,,,,•,Mandla,,,
,,,,,,•,Bhopal,,,
,,,,,,Ekikrit Bal Vikas,,,,
,,,,,,"Pariyojan, SHG ",,,,
6,167,"Rashtrothana Nyas, ",Suresh Gupta -,,arogyadham.gwl@gmail.com,,,,,
,,"Rashtrotthana Bhawan,","09425123138, ",,,,,,,
,,,,,,123,,,,
,,"Vivekananda Marg, ",,(O) 0751- 2627072,,,,,,
,,"New Sadak, Gwalior- 474001 ",,,,,,,,
7,396,"Shri Sadguru Seva Foundation, ",,Sadanand Singh –,"ssb_sssfindia@yahoo.in, ",,,,,
,,"B – 36, Bank Colony, ",,"09826145359, ",sssp_korba@yahoo.in,◆,,,,
,,"Gole Ka Mandir, ",,"(O) 07759 – 228576,",,Advanced Organic,,,,
,,Gwalior – 474001,,"227873, 9826145359 ",,"Farming, ",,,,
,,,,,,Cultivating of Lac,,,,
8,413,"Seva Bharti, Guna ",,Akhilesh Vijayvargiya-,akhilesh_guna@yahoo.co.in,,,,,
,,"Keshava Smruti, ",,"9425131090, ",,,,,,
,,"Behind Pratap Hostel, ",,"(O) 07542 – 407053, ",,,,,,
,,Guna – 473001,,9425131090,,,,,,
9,470,Society for Economic Research,,Rachna Purohit –,"serwa@rediffmail.com, www.serwa.in ◆◆ ",,,,,
,,"and Welfare Activity (SERWA), ",,"9300784658, ",,"Counselling centres,",,,,
,,"M – 35, Triveni Complex, ",,(O) 0755 – 4209770,,Water conservation,,,,
,,"T.T. Nagar, Bhopal – 462003 ",,,,"and harvesting,",,,,
,,,,,,environment,,,,
,,,,,,"protection/workshop,",,,,
,,,,,,"tree planting ,kishori",,,,
,,,,,,"vikas project, women",,,,
,,,,,,"empowerment, shg,",,,,
,,,,,,Agricultural,,,,
,,,,,,conference,,,,
10,482,Rajshree Kala Evam Samaj,,Renu Singhal –,"rajshreesamiti@gmail.com, ",,,,,
,,"Kalyan Samiti, ",,"9009992069, ",renusinghal.singhal09@gmail.com,◆,,,,
,,"93C, Sector Paraspar Colony,",,(O) 0755 - 2420374,,"Deaddiction Centre,",,,,
,,"Chuna Bhatti, Kolar Road, ",,,,Aids control program,,,,
,,Bhopal – 462016,,,,,,,,
11,521,"Pragati Chetna Manch, ",,Ajay Saxena –,"pragatichetnamanch@gmail.com, ",,,,,
,,"G-3, Kajal Shikhar Complex, ",,"9301205796, ",dr.nisha.ajay76@gmail.com,◆,,,,
,,"Vijay Nagar, Lal Ghati ",,"(O) 09301205796, ",,SHG,,,,
,,Bhopal -,462030,8226070941,,,,,,
,,MAHA KOSHAL,,,,,,,,
,,,,,,124,,,,
1,28,"Seva Bharati, Mahakoshal ",Ram chander chitale,,sevabhartimahakoshal@gmail.com,,,,,
,PPS,"SEWA SADAN,OLD BASTI",9826833856,,ramchandra.chitale@gmail.com,"Vanavasi Girls hostel, ",,,,
,,"MADHOTAL,IN FRONT OF",,,,"Matruchhaya, Gurukul",,,,
,,"ITI,MADHOTAL,JABALPUR-",,,,School,,,,
,,482002,,,,,,,,
2,57,Vandan Punarvas Evam,Sandeep Rajak –,,"sandeepvandan@gmail.com, ",,,,,
,,"Anusandhan Sansthan, ","09407022478, ",,www.vandandisability.com,,,,,
,,"Hirakunj – 1109/C, ","(O) 0761 – 4063031,",,,Institute for mentally,,,,
,,"Vijay Nagar, ",9425473814,,,"disabled children,",,,,
,,,,,,Training of mentally,,,,
,,Jabalpur – 482002,,,,,,,,
,,,,,,challenged,,,,
3,58,"Seva Bharti, Jabalpur ",Anil Sharma –,,jabalpurmatrachhaya@gmail.com,,,,,
,,"Matrachhaya, ","09827676778, ",,,"Hostel (Matruchhya),",,,,
,,"45, Ekta Nagar, Behind Ekta","(O) 0761- 6499824,",,,Swami Vivekanand,,,,
,,"Tower, M.R. 4 Road, ",4054673,,,Avasiya Vidyalaya,,,,
,,Jabalpur - 482002,,,,,,,,
4,59,"Satna Seva Bharati, ",Pradeep Saxena –,,"sevabhartisatna@gmail.com, ",,,,,
,,"Narayan Kuti, ",9425330646,,pradeepsaxena@rediffmail.com,Matruchhaya,,,,
,,"Krishan Nagar, ",,,,,,,,
,,Satna - 485001,,,,,,,,
5,60,"Sagar Sewa Bharti, ",Atul Nijhavan –,,sagarsewabharti@gmail.com,◆  ,,,,
,,"Vandana Parkota, ","9425451339, ",,,Vanvasi Kanya,,,,
,,"Gurudwara Road, Bhagwan","(O) 07582 – 247859,",,,"Chhatravas,",,,,
,,"Ganj, Sagar – 470002 ",248229,,,Matruchhaya,,,,
6,194,Shantikunj Bahuaayami Vikas,Rajesh Verma -,,"nishantscs@yahoo.com,",,,,,
,,"Seva Samiti, ","9826120375, ",,shantikunj_mandla@yahoo.co.in,,,,,
,,"Opp. Police Station, Maharajpur, ",(O),9826120375,,No detail,,,,
,,Mandla – 481665,,,,,,,,
7,207,"Jana Jati Kalyaan Kendra,",Kishor Gulwani -,,gulwanikishor@gmail.com,,,,,
,,"Shahpura , ","09406755133, ",,,  ,,,,
,,"Bargaon Village, Karandi,",(O),"07640 – 230133,",,"Goshala, Hostel for",,,,
,,"Shapura Tq, ",9407045974,,,boys,,,,
,,,,,,125,,,,
,,Dindori Dist - 481990,,,,,,,,
8,441,"Mandla Seva Bharati, ",Hiranand Chandervansi,,"vineetchourasia2011@gmail.com, ",,,,,
,,"Sahastra Dhara Road, ","-09407385851, ",,chandrawanshihn@gmail.com,,,,,
,,"Near Deodara Mukti Dham,",(O) 09407385851,,,Hostel for girls,,,,
,,"Deodara,Mandla – 481661 ",,,,,,,,
9,442,"Balaghat Sewa Bharati, ",Sunil Khotele -,,"surendrachetan@gmail.com,",,,,,
,,"Ward No. 32, Narmada Nagar,","09407314327, ",,jstbalaghat@gmail.com,,,,,
,,"Near Shiv Mandir, ",(O) 09407314327,,,Vanavasi Kanya,,,,
,,"Balaghat – 481001, M.P. ",,,,Chhatravas,,,,
,,MALWA,,,,,,,,
1,30,"Sri Seva Bharati Shiksha Samithi,",Narayan Agrawal -,,"sewabhartiindore@rediffmail.com, ",,,,,
,,"76, Archna, II Floor, ","09425053420, ",,www.sewabhartiindore.com,◆,,,,
,,"Rambagh, Indore – 452004 ","(O) 0731-2548483,",,,,,,,
,,,2534001,,,,,,,
2,33,"Ratlam Seva Bharati Samithi, ",Sharad Pathak-,,sharad_phatak@yahoo.co.in,,,,,
,,"8 A, Keshav Kutir, ","09425195179, ",,,◆,,,,
,,"Palace Road, ","07412-234078, ",,,"Sanskar Kendra, Trainig",,,,
,,Ratlam – 457001,(O) 07412-234078,,,"Centre for women,",,,,
,,,,,,Neurotherapy,,,,
3,35,"Seva Bharati, Ujjain ",Rajesh Patidar –,,sewabhartiujjain@gmail.com,,,,,
,,"16/1, Lakshmibai Marg,","09425091089, ",,,"Hostel for girls ,",,,,
,,"Sardarpura Dewas Gate, Ujjain – ",(O),"0734 – 2561105,",,Matruchhaya 5,,,,
,,456001,2513444,,,,,,,
4,98,"Aagar Seva Bharati Samithi, ",Santosh Goyal -,,swasthya.mandir.agar@gmail.com,,,,,
,,"Swasthya Mandir, ","09425083153, ",,,Yoga Evam Nature,,,,
,,"Sarangpur Marg, ",(O),"07362 - 258133,",,cure Centre,,,,
,,Aagar – 465441,289001,,,,,,,
5,114,"Jan Kalyan Ashram Samiti,",Dangalsingh Patel –,,"info@jankalyanashram.org,",,,,,
,,"Harchandra, ","08225806552, ",,www.jankalyanashram.org,,,,,
,,"Village Sidhpur Po, TQ Babai,",(O),"9424435143,",,Hostel and school –,,,,
,,Dist Hoshangabad - 461 668,8225806552,,," Jan Kalyan,","Ashram,",,,
,,,,,,126,,,,
,,,,,,Hosangabad,,,,
6,132,"Mandsaur Seva Bharati Samiti, ",,Vinod Sharma –,vvinodssharma@gmail.com,,,,,
,,"Samarpan, Keshav Nagar,",,"09425105590, ",,,,,,
,,Mandsaur – 458001,,"(O) 07422-220276,",,,,,,
,,,,400797,,,,,,
7,212,"Bhaiya Ji Dani Seva Nyas, Indore, ",,Narayan Agarwal –,bhaiyajidani@gmail.com,,,,,
,PPS,"76 – Archana, ",,"09425053420 (Secy), ",,"Ekal Vidyalaya,",,,,
,,"Rambagh, ",,(O) 0731-2548483,,Vanvasi Prashikshan,,,,
,,Indore – 452004,,,,"Kendra, Hostel for",,,,
,,,,,,"Vanavasi students,",,,,
,,,,,,Hostel for girls 2,,,,
,,,,,,(Khandwa & Ujjain),,,,
,,,,,,Matruchhaya -2,,,,
,,,,,,"(Indore, Ujjain) ",,,,
8,380,"Adarsh Sri Krishna Goushala, ",,Karansingh,-,,,,,
,,"Sri Krishna Motors, ",,Chandravanshi-,,,,,,
,,"Bus Stand, P ",,"9826432796, ",,Goshala,,,,
,,"olaykalan , ",,"(O) 9826373403,",,,,,,
,,Dist: Shajapur - 465116,,9425365877,,,,,,
9,414,Smt. Savitribai Jhawar Seva,,Bharat,Jhawar – 0733-,ca.bharat.jhawar@yahoo.in,,,,
,,"Nyas, ",,"2225850, ",,,,,,
,,"Keshav Seva Dham, ",,"(O) 0733 -2248332,",,Viklang Centre & their,,,,
,,"Behind Polytechnic College, ",,2222803,,rehabilitation,,,,
,,KHANDWA – 500001,,,,,,,,
10,481,Charitable Welfare Society for,,Neelam Kaur -,"neelamkaur10@gmail.com,",,,,,
,,Humankind and Animals,"Samiti,",(O) 9406543115,"subeettiwari@gmail.com,",,,,,
,,"E/ 7 - 92, Flat No. 2, ",,,www.bhopalforanimals.wordpress.co,Animal protection,,,,
,,"Ganga Apartment, ",,,m,,,,,
,,"Lala Lajpat Rai Society, ",,,,,,,,
,,"Arera Colony - 462016, ",,,,,,,,
,,Bhopal,,,,,,,,
,,MEERUT,,,,,,,,
,,,,,,127,,,,
1,56,"Janseva Nyas, Meerut ",Rajinder Bhardwaj-,,,"rmsvm2010@hotmail.com,",,,,
,,(under Madhav Kunj Prakalp),"09760760818, ",,,rsbspt@hotmail.com,Saraswati Vidya,,,
,,"E-2, Pocket 4C, Shatabdi Nagar,",(O) 0121 –,,,,"Mandir,",,,
,,Meerut – 250103,"25,102,432,515,302",,,,Hostel for NE students,,,
2,147,"Sewa Bharathi, Meerut ",Dr. Rajneesh –,,,"manojkumarbly07@gmail.com,",,,,
,PPS,"Shankar Ashram, ","09358015637, ",,,"satishupadhyay@gmail.com, ",,,,
,,"Shivaji Marg, ",(O),"0121 – 2640880,",,rajnishkumargarg66@gmail.com,Nandgram,,,
,,Meerut – 250001,278115,,,,Vivekanand Saraswati,,,
,,,,,,,Vidya Mandir,,,
3,169,"International Yoga Society, ",Prabhakar,Mishra,-,"iysindia@gmail.com,",,,,
,,"Lal Bagh, Loni, ","9837969489, ",,,www.iys-loni.org, ,,,
,,Ghaziabad – 201102,(O),"0120 – 2600237,",,,Swami,,,
,,,2686938,,,,Jyotirmayanand Gram,,,
,,,,,,,Vikas Kendra – for,,,
,,,,,,,girls,,,
,,,,,,,-Jyotirmayanand,,,
,,,,,,,Hospital,,,
,,,,,,,"-Divyajyoti School,",,,
,,,,,,,Loni,,,
,,,,,,,-Lalita Jyoti,,,
,,,,,,,Anathalaya for girls,,,
,,,,,,,-Swami,,,
,,,,,,,Jyotimayanand,,,
,,,,,,,"Ashram, Sonvarse",,,
,,,,,,,Bakhtar,,,
4,182,Ashadeep Dharmarth Seva,Ved Prakash Singhal-,,,"info@ashadeepinstitute.org ,",,,,
,,"Samiti, ","09259051431, ",,,www.ashadeepinstitute.org,,,,
,,"151/4, South Civil Lines,","09837969489, ",,,FCRA,Day Boarding School,,,
,,Muzaffarnagar - 251001,(O),0131 - 2623591,,,for Mentally,,,
,,,,,,,"challenged children,",,,
,,,,,,,their rehabilitation,,,
5,208,"Braj Mohan School for the Blind, ",Ramesh Chandra,,,brijmohanblindschool@gmail.com,,,,
,,"20, New Bansipura, ",Jindal –,,,FCRA, ,,,
,,"Surajkund Road, ","09319310488, ",,,,Residential school for,,,
,,,,,,,blind,,,
,,,,,,,128,,,
,,Meerut – 250001,,(O),0121 - 2644366,,,,,
6,289,"Gram Vikas Samiti, ",,Pawan – 9837028801,"pragatigvs@gmail.com, ", ◆,,,,
,,"Anvarpur village, ",,,www.gramvikassamiti.in,11 Saraswati Shishu,,,,
,,"Post Pilakhuwa, ",,,,Mandirs,Harnamal,,,
,,Dist Ghaziabad-245304,,,,Chajjumal Koushal,,,,
,,"(ii) KE - 81, Kavi Nagar,",,,,"Vikas Kendra,",2 Bal,,,
,,Ghaziabad,,,,Kalyan Kendras,,,,
7,377,Vijay Gramodyog Vikas,,Mehak Singh –,vgvsbhatona@gmail.com,,,,,
,,"Sansthan, ",,9639052046,,,,,,
,,"c/o. Shri Mehaksingh, ",,,,"SHG 300 nos, ",,,,
,,"vill Bhatouna, Near Gulavati",,,,Farmers Club – 100,,,,
,,"Shaheed Smarak, ",,,,,,,,
,,Bulandshahar – 245408,,,,,,,,
8,385,"Janhit Foundation, ",,Amit Rana –,"janhitfoundation@gmail.com,",,,,,
,,"180/7, Shastri Nagar, ",,"09412706850, ",www.janhitfoundation.in,,,,,
,,"Near Rangoli Mandap, ",,(O) 0121 – 4004123,,No detail,,,,
,,Meerut,-250002,,,,,,,
9,388,"Manish Govil Memorial Trust, ",,S.C.Govil –,"s44g@rediffmail.com,", ,,,,
,,"Abha Manav Mandir,",,"9411401455, ","abhamanavmandir@indiatimes.com,","Vruddha Ashram,",,,,
,,"Bldg.,Panchavati Colony, ",,(O) 0121 – 2622035,suyg@rediffmail.com,Ambulance,,,,
,,"Mawana Road, Kaseru Buxar, ",,,,,,,,
,,Meerut – 250001,,,,,,,,
10,449,"Bandhu Sakha Seva Trust, ",,Amardeep Singh -,amardeep3009@gmail.com,,,,,
